"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to partially update a booking and verify the response.","593","Test Partial Update Booking","","Wed Jul 31 16:37:28 AMT 2024","passed","Wed Jul 31 16:37:28 AMT 2024","","Partial Update Booking Suite","",""
"Test to create authentication token for booking API.","586","Test Booking Token Creation","","Wed Jul 31 16:37:24 AMT 2024","passed","Wed Jul 31 16:37:24 AMT 2024","","Create Token Booking Suite","",""
"Test to delete a booking by ID and verify the response.","586","Test Delete Booking by ID","","Wed Jul 31 16:37:29 AMT 2024","passed","Wed Jul 31 16:37:30 AMT 2024","","Delete Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","571","Test Negative Partial Update Booking without Token","","Wed Jul 31 16:37:29 AMT 2024","passed","Wed Jul 31 16:37:29 AMT 2024","","Partial Update Booking Suite","",""
"Test to update a booking and verify the response.","570","Test Update Booking","","Wed Jul 31 16:37:26 AMT 2024","passed","Wed Jul 31 16:37:27 AMT 2024","","Update Booking Suite","",""
"This test retrieves a booking by ID and checks the response status and content.","617","Test getting booking by ID","","Wed Jul 31 16:37:26 AMT 2024","passed","Wed Jul 31 16:37:26 AMT 2024","","GET Booking Suite","",""
"Test to create a booking and verify the response.","587","Test Create Booking","","Wed Jul 31 16:37:24 AMT 2024","passed","Wed Jul 31 16:37:25 AMT 2024","","Create Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","740","Test getting all bookings","","Wed Jul 31 16:37:25 AMT 2024","passed","Wed Jul 31 16:37:26 AMT 2024","","GET Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","618","Health Check Test","","Wed Jul 31 16:37:23 AMT 2024","passed","Wed Jul 31 16:37:24 AMT 2024","","Ping Tests","",""
"Test to verify response when updating a booking with an invalid token.","568","Test Negative Update Booking","","Wed Jul 31 16:37:27 AMT 2024","passed","Wed Jul 31 16:37:28 AMT 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","569","Test Negative Partial Update Booking with Invalid Token","","Wed Jul 31 16:37:28 AMT 2024","passed","Wed Jul 31 16:37:29 AMT 2024","","Partial Update Booking Suite","",""
